dport,sport,protocol,flags,time bw prev packet,spkts,dpkts,pkt_len,ttl,payload size,label
6881,41796,17,0,1714154378.9164557,0,79,71,0,224,1
443,51563,17,0,0.11964893341064453,0,588,580,0,224,1
43165,22000,6,S,0.00459742546081543,0,32,0,128,224,1
51563,443,17,0,0.03059554100036621,0,52,44,0,224,1
443,51563,17,0,0.002673625946044922,0,596,588,0,224,1
51563,443,17,0,0.028240680694580078,0,52,44,0,224,1
14030,41796,17,0,0.05752301216125488,0,105,97,0,224,1
41796,14030,17,0,0.0004107952117919922,0,315,307,0,224,1
22000,22000,17,0,0.29492878913879395,0,1260,1252,0,224,1
22000,22000,17,0,0.0005342960357666016,0,1260,1252,0,224,1
22000,44314,17,0,0.0006022453308105469,0,1260,1252,0,224,1
22000,44314,17,0,0.0005285739898681641,0,1260,1252,0,224,1
22000,22000,17,0,0.0005171298980712891,0,1260,1252,0,224,1
22000,22000,17,0,0.0004515647888183594,0,1260,1252,0,224,1
22000,44188,17,0,0.0006253719329833984,0,1260,1252,0,224,1
22000,44188,17,0,0.0005209445953369141,0,1260,1252,0,224,1
22000,22000,17,0,0.0004937648773193359,0,1260,1252,0,224,1
22000,22000,17,0,0.0004858970642089844,0,1260,1252,0,224,1
22000,44417,17,0,0.0005190372467041016,0,1260,1252,0,224,1
22000,44417,17,0,0.0005023479461669922,0,1260,1252,0,224,1
22000,44381,17,0,0.0004649162292480469,0,1260,1252,0,224,1
22000,44381,17,0,0.0005295276641845703,0,1260,1252,0,224,1
41796,3154,17,0,0.2703413963317871,0,131,123,0,224,1
41796,6881,17,0,0.0003781318664550781,0,131,123,0,224,1
50026,55105,17,0,0.00963139533996582,0,60,52,0,224,1
6881,41796,17,0,0.14342737197875977,0,321,313,0,224,1
3154,41796,17,0,0.11925268173217773,0,627,619,0,224,1
51967,53,17,0,0.14131522178649902,0,41,33,0,224,1
56763,53,17,0,0.0006470680236816406,0,41,33,0,224,1
53,56763,17,0,0.0006892681121826172,0,101,93,0,224,1
53,51967,17,0,0.006577730178833008,0,57,49,0,224,1
58086,443,17,0,0.0007686614990234375,0,1258,1250,0,224,1
58086,443,17,0,0.0003821849822998047,0,1258,1250,0,224,1
58086,443,17,0,0.0003962516784667969,0,90,82,0,224,1
58086,443,17,0,0.00029850006103515625,0,489,481,0,224,1
7580,41796,17,0,0.012649297714233398,0,186,178,0,224,1
41796,7580,17,0,0.0004215240478515625,0,64,56,0,224,1
443,58086,17,0,0.005721092224121094,0,1258,1250,0,224,1
58086,443,17,0,0.04715538024902344,0,1258,1250,0,224,1
443,58086,17,0,0.022261381149291992,0,1258,1250,0,224,1
443,58086,17,0,0.03374481201171875,0,1258,1250,0,224,1
443,58086,17,0,0.0010874271392822266,0,308,300,0,224,1
443,58086,17,0,0.0004131793975830078,0,952,944,0,224,1
443,58086,17,0,0.0003757476806640625,0,33,25,0,224,1
58086,443,17,0,0.0003116130828857422,0,1258,1250,0,224,1
58086,443,17,0,0.0003459453582763672,0,39,31,0,224,1
443,58086,17,0,0.00033164024353027344,0,30,22,0,224,1
443,58086,17,0,0.0169677734375,0,128,120,0,224,1
58086,443,17,0,0.0003039836883544922,0,39,31,0,224,1
443,58086,17,0,0.11467647552490234,0,503,495,0,224,1
443,58086,17,0,0.0006053447723388672,0,30,22,0,224,1
58086,443,17,0,0.0003936290740966797,0,43,35,0,224,1
443,58086,17,0,0.018537521362304688,0,33,25,0,224,1
58086,443,17,0,0.005910396575927734,0,40,32,0,224,1
55105,50026,17,0,0.06953716278076172,0,36,28,0,224,1
41796,10240,17,0,0.22164130210876465,0,131,123,0,224,1
41796,11535,17,0,0.0005619525909423828,0,131,123,0,224,1
50026,55105,17,0,0.012170553207397461,0,60,52,0,224,1
11535,41796,17,0,0.3088948726654053,0,290,282,0,224,1
43165,22000,6,S,0.0005462169647216797,0,32,0,128,224,1
22000,44188,17,0,0.015584230422973633,0,1260,1252,0,224,1
22000,44188,17,0,0.00047016143798828125,0,1260,1252,0,224,1
