dport,sport,protocol,flags,time bw prev packet,spkts,dpkts,pkt_len,ttl,payload size,label
80,1548,6,S,1714101075.452874,0,26,6,64,248,ddos
80,1548,6,S,0.0029976367950439453,0,26,6,64,248,ddos
80,1549,6,S,0.0014998912811279297,0,26,6,64,248,ddos
80,1549,6,S,0.0025022029876708984,0,26,6,64,248,ddos
80,1550,6,S,0.0020003318786621094,0,26,6,64,248,ddos
80,1550,6,S,0.0025010108947753906,0,26,6,64,248,ddos
80,1551,6,S,0.0025014877319335938,0,26,6,64,248,ddos
80,1551,6,S,0.001999378204345703,0,26,6,64,248,ddos
80,1552,6,S,0.0014996528625488281,0,26,6,64,248,ddos
80,1552,6,S,0.0015032291412353516,0,26,6,64,248,ddos
80,1553,6,S,0.0019981861114501953,0,26,6,64,248,ddos
80,1553,6,S,0.002006053924560547,0,26,6,64,248,ddos
80,1554,6,S,0.0019998550415039062,0,26,6,64,248,ddos
80,1554,6,S,0.0025005340576171875,0,26,6,64,248,ddos
80,1555,6,S,0.002001047134399414,0,26,6,64,248,ddos
80,1555,6,S,0.001500844955444336,0,26,6,64,248,ddos
80,1556,6,S,0.002000093460083008,0,26,6,64,248,ddos
80,1556,6,S,0.0020034313201904297,0,26,6,64,248,ddos
80,1557,6,S,0.001997232437133789,0,26,6,64,248,ddos
80,1557,6,S,0.0015032291412353516,0,26,6,64,248,ddos
80,1558,6,S,0.0019965171813964844,0,26,6,64,248,ddos
80,1558,6,S,0.0020020008087158203,0,26,6,64,248,ddos
80,1559,6,S,0.002500295639038086,0,26,6,64,248,ddos
80,1559,6,S,0.0020008087158203125,0,26,6,64,248,ddos
80,1560,6,S,0.001499176025390625,0,26,6,64,248,ddos
80,1560,6,S,0.0025010108947753906,0,26,6,64,248,ddos
80,1561,6,S,0.0020036697387695312,0,26,6,64,248,ddos
80,1561,6,S,0.001497507095336914,0,26,6,64,248,ddos
80,1562,6,S,0.002005338668823242,0,26,6,64,248,ddos
80,1562,6,S,0.0015037059783935547,0,26,6,64,248,ddos
80,1563,6,S,0.0024967193603515625,0,26,6,64,248,ddos
80,1563,6,S,0.0020008087158203125,0,26,6,64,248,ddos
80,1564,6,S,0.002000570297241211,0,26,6,64,248,ddos
80,1564,6,S,0.002004384994506836,0,26,6,64,248,ddos
80,1565,6,S,0.001995086669921875,0,26,6,64,248,ddos
80,1565,6,S,0.001501321792602539,0,26,6,64,248,ddos
80,1566,6,S,0.0019996166229248047,0,26,6,64,248,ddos
80,1566,6,S,0.002000093460083008,0,26,6,64,248,ddos
80,1567,6,S,0.002003908157348633,0,26,6,64,248,ddos
80,1567,6,S,0.0024971961975097656,0,26,6,64,248,ddos
80,1568,6,S,0.002504110336303711,0,26,6,64,248,ddos
80,1568,6,S,0.0015003681182861328,0,26,6,64,248,ddos
80,1569,6,S,0.0019996166229248047,0,26,6,64,248,ddos
80,1569,6,S,0.00150299072265625,0,26,6,64,248,ddos
80,1570,6,S,0.0014984607696533203,0,26,6,64,248,ddos
80,1570,6,S,0.0020003318786621094,0,26,6,64,248,ddos
80,1571,6,S,0.0015034675598144531,0,26,6,64,248,ddos
80,1571,6,S,0.001997709274291992,0,26,6,64,248,ddos
80,1572,6,S,0.002006053924560547,0,26,6,64,248,ddos
80,1572,6,S,0.001994609832763672,0,26,6,64,248,ddos
80,1573,6,S,0.002000570297241211,0,26,6,64,248,ddos
80,1573,6,S,0.0015053749084472656,0,26,6,64,248,ddos
80,1574,6,S,0.0015003681182861328,0,26,6,64,248,ddos
80,1574,6,S,0.0014996528625488281,0,26,6,64,248,ddos
80,1575,6,S,0.0015001296997070312,0,26,6,64,248,ddos
80,1575,6,S,0.0020024776458740234,0,26,6,64,248,ddos
80,1576,6,S,0.0015001296997070312,0,26,6,64,248,ddos
80,1576,6,S,0.002000093460083008,0,26,6,64,248,ddos
80,1577,6,S,0.0020041465759277344,0,26,6,64,248,ddos
80,1577,6,S,0.0014998912811279297,0,26,6,64,248,ddos
80,1578,6,S,0.0019979476928710938,0,26,6,64,248,ddos
80,1578,6,S,0.0015001296997070312,0,26,6,64,248,ddos
80,1579,6,S,0.0015001296997070312,0,26,6,64,248,ddos
80,1579,6,S,0.002000093460083008,0,26,6,64,248,ddos
80,1580,6,S,0.0015044212341308594,0,26,6,64,248,ddos
80,1580,6,S,0.0014996528625488281,0,26,6,64,248,ddos
80,1581,6,S,0.002000093460083008,0,26,6,64,248,ddos
80,1581,6,S,0.002001047134399414,0,26,6,64,248,ddos
80,1582,6,S,0.0020036697387695312,0,26,6,64,248,ddos
80,1582,6,S,0.0019998550415039062,0,26,6,64,248,ddos
80,1583,6,S,0.0015006065368652344,0,26,6,64,248,ddos
80,1583,6,S,0.0014998912811279297,0,26,6,64,248,ddos
80,1584,6,S,0.0020003318786621094,0,26,6,64,248,ddos
80,1584,6,S,0.0015003681182861328,0,26,6,64,248,ddos
80,1585,6,S,0.0015001296997070312,0,26,6,64,248,ddos
80,1585,6,S,0.002000570297241211,0,26,6,64,248,ddos
80,1586,6,S,0.0019981861114501953,0,26,6,64,248,ddos
80,1586,6,S,0.0014994144439697266,0,26,6,64,248,ddos
80,1587,6,S,0.002000570297241211,0,26,6,64,248,ddos
80,1587,6,S,0.002000570297241211,0,26,6,64,248,ddos
80,1588,6,S,0.0020003318786621094,0,26,6,64,248,ddos
80,1588,6,S,0.0015003681182861328,0,26,6,64,248,ddos
80,1589,6,S,0.0015001296997070312,0,26,6,64,248,ddos
80,1589,6,S,0.0015003681182861328,0,26,6,64,248,ddos
80,1590,6,S,0.002000093460083008,0,26,6,64,248,ddos
80,1590,6,S,0.002000093460083008,0,26,6,64,248,ddos
80,1591,6,S,0.0020003318786621094,0,26,6,64,248,ddos
80,1591,6,S,0.0014998912811279297,0,26,6,64,248,ddos
80,1592,6,S,0.0020003318786621094,0,26,6,64,248,ddos
80,1592,6,S,0.001500844955444336,0,26,6,64,248,ddos
80,1593,6,S,0.0015001296997070312,0,26,6,64,248,ddos
80,1593,6,S,0.0020012855529785156,0,26,6,64,248,ddos
80,1594,6,S,0.0014998912811279297,0,26,6,64,248,ddos
80,1594,6,S,0.0015001296997070312,0,26,6,64,248,ddos
80,1595,6,S,0.002000093460083008,0,26,6,64,248,ddos
80,1595,6,S,0.002002239227294922,0,26,6,64,248,ddos
80,1596,6,S,0.0019996166229248047,0,26,6,64,248,ddos
80,1596,6,S,0.001500844955444336,0,26,6,64,248,ddos
80,1597,6,S,0.0014998912811279297,0,26,6,64,248,ddos
80,1597,6,S,0.002000570297241211,0,26,6,64,248,ddos
80,1598,6,S,0.0015017986297607422,0,26,6,64,248,ddos
80,1598,6,S,0.0014998912811279297,0,26,6,64,248,ddos
80,1599,6,S,0.0015003681182861328,0,26,6,64,248,ddos
80,1599,6,S,0.0020003318786621094,0,26,6,64,248,ddos
80,1600,6,S,0.0020003318786621094,0,26,6,64,248,ddos
80,1600,6,S,0.0015006065368652344,0,26,6,64,248,ddos
80,1601,6,S,0.033034324645996094,0,26,6,64,248,ddos
80,1601,6,S,0.0020046234130859375,0,26,6,64,248,ddos
80,1602,6,S,0.001499176025390625,0,26,6,64,248,ddos
80,1602,6,S,0.001996755599975586,0,26,6,64,248,ddos
80,1603,6,S,0.0015039443969726562,0,26,6,64,248,ddos
80,1603,6,S,0.0020012855529785156,0,26,6,64,248,ddos
80,1604,6,S,0.002002239227294922,0,26,6,64,248,ddos
