dport,sport,protocol,flags,time bw prev packet,spkts,dpkts,pkt_len,ttl,payload size,label
22,53028,6,S,1714154879.2464693,0,40,0,64,224,benign
53028,22,6,SA,0.0005626678466796875,40,0,0,64,224,benign
22,53028,6,A,0.003991127014160156,0,32,0,64,224,benign
22,53028,6,PA,0.0006892681121826172,0,64,32,64,224,benign
53028,22,6,A,0.00043964385986328125,32,0,0,64,224,benign
53028,22,6,PA,0.007616519927978516,73,0,41,64,224,benign
22,53028,6,A,0.015840768814086914,0,32,0,64,224,benign
53028,22,6,PA,0.0004515647888183594,1144,0,1112,64,224,benign
22,53028,6,PA,0.0003829002380371094,0,1568,1536,64,224,benign
53028,22,6,A,0.0003502368927001953,32,0,0,64,224,benign
22,53028,6,A,0.05922698974609375,0,32,0,64,224,benign
22,53028,6,PA,0.06155824661254883,0,1240,1208,64,224,benign
53028,22,6,PA,0.010184288024902344,1596,0,1564,64,224,benign
53028,22,6,PA,0.030417919158935547,148,0,116,64,224,benign
22,53028,6,A,0.027010440826416016,0,32,0,64,224,benign
22,53028,6,A,0.0015187263488769531,0,44,0,64,224,benign
22,53028,6,PA,4.732178211212158,0,48,16,64,224,benign
53028,22,6,A,0.043686866760253906,32,0,0,64,224,benign
22,53028,6,PA,0.036260128021240234,0,76,44,64,224,benign
53028,22,6,A,0.0005104541778564453,32,0,0,64,224,benign
53028,22,6,PA,0.0003590583801269531,76,0,44,64,224,benign
22,53028,6,A,0.0031507015228271484,0,32,0,64,224,benign
22,53028,6,PA,0.001542806625366211,0,100,68,64,224,benign
53028,22,6,PA,0.008810997009277344,84,0,52,64,224,benign
22,53028,6,A,0.0509037971496582,0,32,0,64,224,benign
22,53028,6,PA,4.985958814620972,0,116,84,64,224,benign
53028,22,6,A,0.044371843338012695,32,0,0,64,224,benign
53028,22,6,PA,0.022780179977416992,60,0,28,64,224,benign
22,53028,6,A,0.017714977264404297,0,32,0,64,224,benign
22,53028,6,PA,0.0007658004760742188,0,144,112,64,224,benign
53028,22,6,A,0.0004253387451171875,32,0,0,64,224,benign
53028,22,6,PA,0.10500383377075195,660,0,628,64,224,benign
22,53028,6,PA,0.0631093978881836,0,612,580,64,224,benign
53028,22,6,PA,0.00047516822814941406,76,0,44,64,224,benign
22,53028,6,PA,0.017476320266723633,0,492,460,64,224,benign
53028,22,6,PA,0.000438690185546875,572,0,540,64,224,benign
53028,22,6,PA,0.00298309326171875,140,0,108,64,224,benign
53028,22,6,PA,0.003789186477661133,796,0,764,64,224,benign
53028,22,6,PA,0.06096959114074707,796,0,764,64,224,benign
22,53028,6,A,0.05298638343811035,0,44,0,64,224,benign
53028,22,6,PA,0.017950057983398438,220,0,188,64,224,benign
53028,22,6,PA,0.08685588836669922,116,0,84,64,224,benign
53028,22,6,PA,0.0009655952453613281,68,0,36,64,224,benign
53028,22,6,PA,0.0005407333374023438,780,0,748,64,224,benign
53028,22,6,PA,0.0005309581756591797,68,0,36,64,224,benign
53028,22,6,PA,0.0004978179931640625,140,0,108,64,224,benign
53028,22,6,PA,0.0017578601837158203,116,0,84,64,224,benign
53028,22,6,PA,0.0017766952514648438,76,0,44,64,224,benign
22,53028,6,A,0.0017573833465576172,0,32,0,64,224,benign
53028,22,6,PA,0.0023925304412841797,76,0,44,64,224,benign
53028,22,6,PA,0.09651589393615723,76,0,44,64,224,benign
22,53028,6,A,0.0009670257568359375,0,32,0,64,224,benign
22,53028,6,A,0.00033164024353027344,0,32,0,64,224,benign
22,53028,6,A,0.0003135204315185547,0,32,0,64,224,benign
22,53028,6,A,0.0003020763397216797,0,32,0,64,224,benign
22,53028,6,A,0.00029397010803222656,0,32,0,64,224,benign
22,53028,6,A,0.00029540061950683594,0,32,0,64,224,benign
22,53028,6,A,1.2033889293670654,0,44,0,64,224,benign
22,53028,6,PA,1.3491063117980957,0,68,36,64,224,benign
53028,22,6,PA,0.001756429672241211,68,0,36,64,224,benign
22,53028,6,A,0.0026972293853759766,0,32,0,64,224,benign
22,53028,6,PA,0.1393277645111084,0,68,36,64,224,benign
53028,22,6,PA,0.0011398792266845703,76,0,44,64,224,benign
22,53028,6,A,0.0026526451110839844,0,32,0,64,224,benign
22,53028,6,PA,0.29010891914367676,0,68,36,64,224,benign
53028,22,6,PA,0.0007567405700683594,76,0,44,64,224,benign
53028,22,6,PA,0.0006928443908691406,84,0,52,64,224,benign
53028,22,6,PA,0.001949310302734375,92,0,60,64,224,benign
53028,22,6,PA,0.0008802413940429688,452,0,420,64,224,benign
22,53028,6,A,0.001399993896484375,0,32,0,64,224,benign
22,53028,6,A,0.0005850791931152344,0,32,0,64,224,benign
22,53028,6,A,0.0023369789123535156,0,32,0,64,224,benign
22,53028,6,A,0.0005099773406982422,0,32,0,64,224,benign
53028,22,6,PA,0.0006034374237060547,92,0,60,64,224,benign
53028,22,6,PA,0.0016374588012695312,948,0,916,64,224,benign
53028,22,6,PA,0.0004856586456298828,76,0,44,64,224,benign
53028,22,6,PA,0.0006837844848632812,76,0,44,64,224,benign
22,53028,6,A,0.00048828125,0,32,0,64,224,benign
22,53028,6,A,0.0043566226959228516,0,32,0,64,224,benign
22,53028,6,A,0.0006508827209472656,0,32,0,64,224,benign
22,53028,6,A,0.0005462169647216797,0,32,0,64,224,benign
22,53028,6,PA,1.0122010707855225,0,68,36,64,224,benign
53028,22,6,PA,0.0016200542449951172,68,0,36,64,224,benign
22,53028,6,A,0.003751993179321289,0,32,0,64,224,benign
22,53028,6,PA,0.05849146842956543,0,68,36,64,224,benign
53028,22,6,PA,0.0012407302856445312,76,0,44,64,224,benign
22,53028,6,A,0.019179821014404297,0,32,0,64,224,benign
22,53028,6,PA,0.16510844230651855,0,68,36,64,224,benign
53028,22,6,PA,0.0011305809020996094,68,0,36,64,224,benign
22,53028,6,A,0.0051763057708740234,0,32,0,64,224,benign
22,53028,6,PA,0.08247232437133789,0,68,36,64,224,benign
53028,22,6,PA,0.0022771358489990234,68,0,36,64,224,benign
22,53028,6,PA,0.18311381340026855,0,68,36,64,224,benign
53028,22,6,PA,0.0014832019805908203,68,0,36,64,224,benign
22,53028,6,A,0.0035707950592041016,0,32,0,64,224,benign
22,53028,6,A,0.0019791126251220703,0,32,0,64,224,benign
22,53028,6,PA,0.5460691452026367,0,68,36,64,224,benign
53028,22,6,PA,0.0015845298767089844,76,0,44,64,224,benign
53028,22,6,PA,0.0014526844024658203,84,0,52,64,224,benign
53028,22,6,PA,0.0015988349914550781,92,0,60,64,224,benign
53028,22,6,PA,0.0026540756225585938,84,0,52,64,224,benign
53028,22,6,PA,0.0015354156494140625,220,0,188,64,224,benign
53028,22,6,PA,0.0029680728912353516,116,0,84,64,224,benign
53028,22,6,PA,0.0008177757263183594,916,0,884,64,224,benign
53028,22,6,PA,0.0005509853363037109,76,0,44,64,224,benign
53028,22,6,PA,0.07844161987304688,76,0,44,64,224,benign
22,53028,6,A,0.005662202835083008,0,32,0,64,224,benign
22,53028,6,A,0.0007615089416503906,0,32,0,64,224,benign
22,53028,6,A,0.0007922649383544922,0,32,0,64,224,benign
22,53028,6,A,0.0011944770812988281,0,32,0,64,224,benign
22,53028,6,A,0.0007929801940917969,0,32,0,64,224,benign
22,53028,6,A,0.0004990100860595703,0,32,0,64,224,benign
22,53028,6,A,0.0020601749420166016,0,44,0,64,224,benign
53028,22,6,PA,0.0003733634948730469,916,0,884,64,224,benign
22,53028,6,A,0.00038695335388183594,0,52,0,64,224,benign
22,53028,6,A,0.0052051544189453125,0,32,0,64,224,benign
22,53028,6,PA,1.4040536880493164,0,68,36,64,224,benign
53028,22,6,PA,0.0013415813446044922,68,0,36,64,224,benign
22,53028,6,A,0.01768016815185547,0,32,0,64,224,benign
22,53028,6,PA,0.04097771644592285,0,68,36,64,224,benign
53028,22,6,PA,0.0009737014770507812,76,0,44,64,224,benign
22,53028,6,A,0.00201416015625,0,32,0,64,224,benign
22,53028,6,PA,0.2880079746246338,0,68,36,64,224,benign
53028,22,6,PA,0.001062631607055664,68,0,36,64,224,benign
22,53028,6,A,0.09021544456481934,0,32,0,64,224,benign
22,53028,6,PA,0.06445884704589844,0,68,36,64,224,benign
53028,22,6,PA,0.0010538101196289062,68,0,36,64,224,benign
22,53028,6,A,0.0041484832763671875,0,32,0,64,224,benign
22,53028,6,PA,1.9570698738098145,0,68,36,64,224,benign
53028,22,6,PA,0.0014431476593017578,84,0,52,64,224,benign
53028,22,6,PA,0.0015454292297363281,84,0,52,64,224,benign
53028,22,6,PA,0.001895904541015625,172,0,140,64,224,benign
53028,22,6,PA,0.0022830963134765625,108,0,76,64,224,benign
53028,22,6,PA,0.003548145294189453,76,0,44,64,224,benign
53028,22,6,PA,0.0025107860565185547,92,0,60,64,224,benign
53028,22,6,PA,0.0026710033416748047,116,0,84,64,224,benign
53028,22,6,PA,0.0018157958984375,860,0,828,64,224,benign
53028,22,6,PA,0.0021331310272216797,116,0,84,64,224,benign
53028,22,6,PA,0.002083301544189453,76,0,44,64,224,benign
53028,22,6,PA,0.09501194953918457,76,0,44,64,224,benign
22,53028,6,A,0.09876489639282227,0,32,0,64,224,benign
22,53028,6,A,0.0006256103515625,0,32,0,64,224,benign
22,53028,6,A,0.0004267692565917969,0,32,0,64,224,benign
22,53028,6,A,0.0003707408905029297,0,32,0,64,224,benign
22,53028,6,A,0.0003407001495361328,0,32,0,64,224,benign
22,53028,6,A,0.0003662109375,0,32,0,64,224,benign
22,53028,6,A,0.0003657341003417969,0,32,0,64,224,benign
22,53028,6,A,0.0003383159637451172,0,32,0,64,224,benign
22,53028,6,A,0.00035119056701660156,0,32,0,64,224,benign
22,53028,6,A,0.00033736228942871094,0,32,0,64,224,benign
22,53028,6,A,0.00032591819763183594,0,32,0,64,224,benign
22,53028,6,PA,2.418598175048828,0,68,36,64,224,benign
53028,22,6,PA,0.0013706684112548828,68,0,36,64,224,benign
22,53028,6,A,0.01660323143005371,0,32,0,64,224,benign
22,53028,6,PA,0.07870292663574219,0,68,36,64,224,benign
53028,22,6,PA,0.0013325214385986328,76,0,44,64,224,benign
22,53028,6,A,0.013471603393554688,0,32,0,64,224,benign
22,53028,6,PA,0.1241455078125,0,68,36,64,224,benign
53028,22,6,PA,0.0022220611572265625,68,0,36,64,224,benign
22,53028,6,PA,0.0794517993927002,0,68,36,64,224,benign
53028,22,6,PA,0.0011935234069824219,68,0,36,64,224,benign
22,53028,6,A,0.00095367431640625,0,32,0,64,224,benign
22,53028,6,A,0.012911081314086914,0,32,0,64,224,benign
22,53028,6,PA,0.13378357887268066,0,68,36,64,224,benign
53028,22,6,PA,0.0015101432800292969,68,0,36,64,224,benign
22,53028,6,A,0.014998197555541992,0,32,0,64,224,benign
22,53028,6,PA,0.18800115585327148,0,68,36,64,224,benign
53028,22,6,PA,0.0009992122650146484,76,0,44,64,224,benign
53028,22,6,PA,0.000637054443359375,100,0,68,64,224,benign
53028,22,6,PA,0.0016260147094726562,84,0,52,64,224,benign
