dport,sport,protocol,flags,time bw prev packet,spkts,dpkts,pkt_len,ttl,payload size,label
22,56630,6,S,1714157202.2481077,0,40,0,64,224,ssh-bruteforce
56630,22,6,SA,0.0005693435668945312,40,0,0,64,224,ssh-bruteforce
22,56630,6,A,0.02209949493408203,0,32,0,64,224,ssh-bruteforce
22,56630,6,PA,0.0004878044128417969,0,55,23,64,224,ssh-bruteforce
56630,22,6,A,0.0003895759582519531,32,0,0,64,224,ssh-bruteforce
56630,22,6,PA,0.007940292358398438,73,0,41,64,224,ssh-bruteforce
22,56630,6,A,0.009189128875732422,0,32,0,64,224,ssh-bruteforce
56630,22,6,PA,0.0004487037658691406,1144,0,1112,64,224,ssh-bruteforce
22,56630,6,A,0.002348661422729492,0,32,0,64,224,ssh-bruteforce
22,56630,6,PA,0.012296438217163086,0,936,904,64,224,ssh-bruteforce
56630,22,6,A,0.04223966598510742,32,0,0,64,224,ssh-bruteforce
22,56630,6,PA,0.12555480003356934,0,80,48,64,224,ssh-bruteforce
56630,22,6,A,0.0005080699920654297,32,0,0,64,224,ssh-bruteforce
56630,22,6,PA,0.0037009716033935547,556,0,524,64,224,ssh-bruteforce
22,56630,6,PA,0.008669376373291016,0,48,16,64,224,ssh-bruteforce
56630,22,6,A,0.041800737380981445,32,0,0,64,224,ssh-bruteforce
22,56630,6,PA,0.049508094787597656,0,76,44,64,224,ssh-bruteforce
56630,22,6,A,0.0005054473876953125,32,0,0,64,224,ssh-bruteforce
56630,22,6,PA,0.0003809928894042969,76,0,44,64,224,ssh-bruteforce
22,56630,6,PA,0.011674165725708008,0,92,60,64,224,ssh-bruteforce
56630,22,6,PA,0.006318330764770508,84,0,52,64,224,ssh-bruteforce
22,56630,6,PA,0.0028467178344726562,0,84,52,64,224,ssh-bruteforce
22,56630,6,FA,0.0018851757049560547,0,32,0,64,224,ssh-bruteforce
56630,22,6,FA,0.0003464221954345703,32,0,0,64,224,ssh-bruteforce
22,56630,6,A,0.0047152042388916016,0,32,0,64,224,ssh-bruteforce
22,56644,6,S,0.33810877799987793,0,40,0,64,224,ssh-bruteforce
56644,22,6,SA,0.0005171298980712891,40,0,0,64,224,ssh-bruteforce
22,56656,6,S,0.000385284423828125,0,40,0,64,224,ssh-bruteforce
56656,22,6,SA,0.0003643035888671875,40,0,0,64,224,ssh-bruteforce
22,56668,6,S,0.0004024505615234375,0,40,0,64,224,ssh-bruteforce
56668,22,6,SA,0.0004172325134277344,40,0,0,64,224,ssh-bruteforce
22,56654,6,S,0.0007688999176025391,0,40,0,64,224,ssh-bruteforce
56654,22,6,SA,0.0004513263702392578,40,0,0,64,224,ssh-bruteforce
22,56664,6,S,0.0003542900085449219,0,40,0,64,224,ssh-bruteforce
56664,22,6,SA,0.00038623809814453125,40,0,0,64,224,ssh-bruteforce
22,56680,6,S,0.00035691261291503906,0,40,0,64,224,ssh-bruteforce
56680,22,6,SA,0.00035953521728515625,40,0,0,64,224,ssh-bruteforce
22,56706,6,S,0.000347137451171875,0,40,0,64,224,ssh-bruteforce
56706,22,6,SA,0.00040411949157714844,40,0,0,64,224,ssh-bruteforce
22,56712,6,S,0.0003418922424316406,0,40,0,64,224,ssh-bruteforce
56712,22,6,SA,0.0005602836608886719,40,0,0,64,224,ssh-bruteforce
22,56688,6,S,0.0005421638488769531,0,40,0,64,224,ssh-bruteforce
56688,22,6,SA,0.0005443096160888672,40,0,0,64,224,ssh-bruteforce
22,56704,6,S,0.014647483825683594,0,40,0,64,224,ssh-bruteforce
56704,22,6,SA,0.01147007942199707,40,0,0,64,224,ssh-bruteforce
22,56720,6,S,0.008700370788574219,0,40,0,64,224,ssh-bruteforce
56720,22,6,SA,0.01089334487915039,40,0,0,64,224,ssh-bruteforce
22,56736,6,S,0.0025076866149902344,0,40,0,64,224,ssh-bruteforce
56736,22,6,SA,0.0010159015655517578,40,0,0,64,224,ssh-bruteforce
22,56770,6,S,0.01797318458557129,0,40,0,64,224,ssh-bruteforce
56770,22,6,SA,0.009966850280761719,40,0,0,64,224,ssh-bruteforce
22,56750,6,S,0.0032472610473632812,0,40,0,64,224,ssh-bruteforce
56750,22,6,SA,0.001005411148071289,40,0,0,64,224,ssh-bruteforce
22,56756,6,S,0.00704193115234375,0,40,0,64,224,ssh-bruteforce
56756,22,6,SA,0.0009806156158447266,40,0,0,64,224,ssh-bruteforce
22,56780,6,S,0.001886606216430664,0,40,0,64,224,ssh-bruteforce
56780,22,6,SA,0.0010519027709960938,40,0,0,64,224,ssh-bruteforce
22,56656,6,A,0.0009119510650634766,0,32,0,64,224,ssh-bruteforce
22,56668,6,A,0.0009768009185791016,0,32,0,64,224,ssh-bruteforce
22,56680,6,A,0.004510164260864258,0,32,0,64,224,ssh-bruteforce
22,56706,6,A,0.0016405582427978516,0,32,0,64,224,ssh-bruteforce
22,56656,6,PA,0.005213022232055664,0,55,23,64,224,ssh-bruteforce
56656,22,6,A,0.0014150142669677734,32,0,0,64,224,ssh-bruteforce
22,56668,6,PA,0.0014598369598388672,0,55,23,64,224,ssh-bruteforce
56668,22,6,A,0.0013430118560791016,32,0,0,64,224,ssh-bruteforce
22,56680,6,PA,0.0014433860778808594,0,55,23,64,224,ssh-bruteforce
